identifier,short_title,title,url,project_type,date_started,date_last_update,regions,countries,continents,time_coverage_start,time_coverage_end,sources,venues,programming,mgmt_ownership,presentation,no_of_seats,geospatial,languages,demographic,searchable_database,about
001,Cinema Context,Cinema Context,https://cinemacontext.nl/,Single,NA,NA,,NL,Europe,1896,2006,Partially,Yes,Yes,Yes,Global Framing,Partially,Yes,"Dutch, English",No,Yes,"The database is made up of five major collections of data (on programmes/screenings, films, cinemas, people and companies) concerning film screenings in the Netherlands. The database also contains comprehensive data from the files of the Netherlands Board of Film Censors (1928-1960). The Cinema Context website provides extensive information on how to employ the database and extract results from it (which type of research questions to ask, brief explanation of technical skills ). This article goes into more detail regarding the sources: https://brill.com/view/journals/rdj/5/2/article-p91_91.xml?language=en"
002,Cinematic Brno,"Cinematic Brno, 1918-1945",https://www.phil.muni.cz/filmovebrno/?id=0&lang=1,Single,NA,2011,Brno,CZ,Europe,1918,1945,Partially,Yes,Yes,Yes,Global Framing,No,Yes,"Czech, English",Yes,No,"The objective of this project is to carry out a historical research into the local film culture in Brno till 1945, with the emphasis put on the role of popular film culture in the everyday-life experience. This will be implemented in two parts: a database will be created, providing the information concerning the network of cinema theatres and films shown, and research of ""oral history“, i.e. interviews with both those involved in film industry and regular cinemagoers."
003,Mapping Movies,Mapping Movies,https://www.mappingmovies.com/,Both,2003,2021,"New Hampshire, Massachusetts","CZ, IT, US, NL",Multiple Continents,1896,1959,Partially,Yes,No,Partially,Global Framing,Yes,Yes,English,Partially,No,"Mapping Movies is a digital discovery environment in which users explore changing landscapes of social and spatial history by investigating the grounded locations and movements of moving pictures. The site promotes spatial thinking and historical inquiry about the relations between media access, public infrastructure, social geography, cultural networks, economic development, community building and collective memory."
004,Eur Cinema Audiences,European Cinema Audiences,https://www.europeancinemaaudiences.org/,Placeholder,2018,2021,,"IT, BE, GB, NL, CZ, SE, DE",Europe,1950,1959,Undetermined,Undetermined,Undetermined,Undetermined,Global Framing,Undetermined,Undetermined,English,Undetermined,No,A comparative research project that explores European film cultures in the 1950s.
005,Black Cinemagoing,Black Cinemagoing: Black Women and Cinemas in Harlem,https://blackcinemagoing.wordpress.com/,Single,2019,2020,Harlem,US,North America,1909,1914,Yes,Yes,No,Partially,Short Narratives,Partially,No,English,Partially,No,This project looks at the ways in which African American women and girls experienced cinematic culture during the silent film era
006,Siegen Databases,Siegen Cinema Databases,http://fk615.221b.de/siegen/start/show/,Single,NA,2006,,DE,Europe,1895,1926,Undetermined,Undetermined,Undetermined,Undetermined,Minimal,Undetermined,Undetermined,"German, English",Undetermined,Yes,"The Siegen Cinema Databases are a product of the film historical project Industrialization of Perception at the University of Siegen. In order to have a good empirical basis for our work on early film in Germany and the parallel changes on social and psychological levels, we compiled three databases with a wealth of information on early cinema: film programmes, film supply, itinerant cinemas."
007,London,The London Project,http://londonfilm.bbk.ac.uk/,Single,NA,NA,London,GB,Europe,1894,1914,Yes,Yes,No,Yes,Global Framing,Yes,Partially,English,No,Yes,"The London Project is a major study of the film business in London, 1894-1914, organised by the AHRB Centre for British Film and Television Studies. The London Project has produced a searchable database documenting cinemas and film businesses in London before the First World War"
008,Italian Audiences,Italian Cinema Audiences,https://italiancinemaaudiences.org/,Single,NA,2019,,IT,Europe,1950,1959,Partially,Yes,Partially,Yes,Global Framing,Yes,Yes,"English, Italian",No,No,"A collaborative research project exploring cinema audiences in Italy in the 1950s. It will explore the importance of films in everyday life in Italy, and the social experience of cinema-going, by interviewing surviving audience members, analyzing their responses using a data analysis software, and contextualizing these responses through further archival research."
009,Cinema Belgica,Cinema Belgica,https://www.cinemabelgica.be/,Single,NA,2021,,BE,Europe,1896,NA,Undetermined,Undetermined,Undetermined,Undetermined,Short Narratives,Undetermined,Undetermined,English,Undetermined,No,"Cinema Belgica is a platform for sharing, enriching and analysing data on cinema history in Belgium from 1896 onwards. Database is in ""beta"" phase as of July 2021 and front end is not available to the public for access."
010,Oregon Theater,The Oregon Theater Project,http://otp.uoregon.edu ,Single,NA,2021,Oregon,US,North America,1896,1930,Yes,Yes,Yes,Yes,Short Narratives,Yes,Yes,English,No,Yes,"The Oregon Theater Project provides a historical sketch of movie theaters in Oregon from the beginning of cinema at the end of the 19th century through the ""silent era"" (1896-1930)."
011,German Early Cinema,The German Early Cinema Database,http://earlycinema.dch.phil-fak.uni-koeln.de/,Single,NA,NA,,DE,Europe,1895,1920,Yes,Yes,Yes,No,Global Framing,No,No,"German, English",No,Yes,"The German Early Cinema Databases contain data related to film supply, distribution, exhibition and reception in Germany between 1895 and 1926."
012,Early Cinema in Scotland,"Early Cinema in Scotland, 1896-1927",https://earlycinema.gla.ac.uk/,Single,2012,2015,Scotland,GB,Europe,1896,1927,Yes,Yes,Yes,Yes,Short Narratives,Yes,Yes,English,No,Yes,"Early Cinema in Scotland, 1896-1927' brings together a range of resources and archive records to produce an integrated account of the beginnings of cinema in Scotland."
013,London Silent Cinemas,London's Silent Cinemas,http://www.londonssilentcinemas.com/,Single,NA,2016,London,GB,Europe,1906,1930,Yes,Yes,No,Yes,Minimal,Yes,Yes,English,No,No,London’s Silent Cinemas explores the history of cinema exhibition in London from the emergence of permanent film venues in 1906 to the end of the silent film era around 1930. It documents the early lives of over 700 cinemas across London and its suburb
014,Lumiere,Lumiere: Database on Admission of Films Released in Europe,https://lumiere.obs.coe.int/web/search/,Aggregator,2000,2020,,Europe,Europe,1996,2021,Yes,No,Yes,No,Minimal,No,No,"English, French, German",No,Yes,A database of admissions to films distributed in Europe
015,Film Culture in Brno,"Film Culture in Brno, 1945-1970: The History of Distribution, Exhibition and Reception",https://www.phil.muni.cz/dedur/?&lang=1,Single,NA,NA,Brno,CZ,Europe,1945,1970,Partially,Yes,Yes,No,Minimal,No,No,"Czech, English",No,No,"A database of venues, programs, films, interviews, documents, and data analysis about film exhibition in Brno, Czech Republic 1945-1970."
016,Film Culture in Leipzig,Film Culture Leipzig: 1945-1970,https://www.phil.muni.cz/leipzigcinema/,Single,NA,NA,Leipzig,DE,Europe,1945,1970,Partially,Yes,Yes,No,Minimal,Yes,Partially,"German, English",No,Yes,"A database of venues, programs, and films in Leipzig, Germany 1945-1970."
017,Going to the Show (North Carolina),Going to the Show: Mapping Moviegoing in North Carolina,http://gtts.oasis.unc.edu/,Single,2006,NA,North Carolina,US,North America,1896,1963,Undetermined,Undetermined,Undetermined,Undetermined,Short Narratives,Undetermined,Undetermined,English,Undetermined,Yes,"Going to the Show comprises a searchable database of more than 1200 movie exhibition sites in some 200 North Carolina communities; a collection of contemporaneous artifacts (newspaper ads and articles, photographs, postcards, city directories) illuminating the experience of early moviegoing in N.C.; more than 750 digitized Sanborn® Fire Insurance Map pages reflecting the central business districts of 47 towns and cities between 1896 and 1922; and an interpretive case study of early moviegoing and urban life in Wilmington. **Map is broken; search is broken July 2021."
018,Australian Cinemas Map,Australian Cinemas Map,https://auscinemas.flinders.edu.au/,Single,NA,2011,,AU,Oceania,1948,1971,Yes,Yes,No,Yes,Minimal,Yes,Yes,English,No,Yes,"The AusCinema site is based on information about the location of film exhibition in Australia in the period from 1948 to 1971. It uses information from the Annual Reports of Film Weekly, Australia’s national trade publication from its 1948/49 edition until it ceased publication in 1971. Each year, Film Weekly published a comprehensive list of screening venues, along with seating capacity and operator."
019,Liverpool,Liverpool: City in Film Online,http://cityinfilm.org/,Single,2006,2013,Liverpool,GB,Europe,NA,NA,Yes,Yes,Partially,No,Minimal,Yes,Yes,English,No,Yes,"Mapping the City in Film holds information on over 1700 films made in and about Liverpool, as well as a map of venues and their details."
020,Cinema City Cultures,Cinema City Cultures,http://cinemacitycultures.org/,Placeholder,NA,2021,,"BE, BR, CO, MX, ES, NL, FR, US, TR",Multiple Continents,1895,2020,Partially,Partially,Partially,Partially,Global Framing,Partially,Partially,"English, French, Spanish, Turkish, Dutch",Partially,No,"Cinema City Cultures is a network of collaborative research projects examining and questioning the interconnection between cinema, modernity and urbanity. Projects within the Cinema City Cultures network concentrate on cinematic places and spaces, programming and audience experiences."
021,Cinematographic Atlas (Canada),Cinematographic Atlas: Cybercartographic Atlas of Canadien Cinema,http://atlascine.site44.com/projet1.html,Single,NA,2012,,CA,North America,2001,2010,Yes,Undetermined,Partially,No,Minimal,Undetermined,Yes,"English, French",No,No,"This research project aims to investigate the different territories of Canadian Cinema including the territories of film production (e.g. post-production), film distribution (e.g. theater locations), and film action.  **many broken links"
022,CineMemories,CineMemories,https://www.cinericordi.it/,Single,NA,NA,,IT,Europe,1950,1959,Yes,No,Yes,No,Minimal,No,Yes,Italian,No,Yes,"CineRicordi allows you to explore the wonderful world of cinema in Italy in the 1950s. You can discover the memories of the public of those years, see clips of the films screened in theaters of that time and share your memorie"
023,Cinema Memory,Cinema Memory and the Digital Archive,https://www.lancaster.ac.uk/fass/projects/cmda/,Single,NA,2021,,GB,Europe,1930,1939,Yes,Partially,Partially,No,Minimal,No,Partially,English,Yes,Yes,Cinema Memory and the Digital Archive (CMDA) is about expanding our knowledge and understanding of how audiences relate to and remember the experience of cinemagoing.
024,Cine Zoologie,Cine Zoologie: 1915–1936: A film programming database,http://www.cinemazoologie.be/,Single,NA,NA,Antwerp,BE,Europe,1915,1936,Yes,Yes,Yes,No,Minimal,No,No,"Dutch, English, French",No,No,A digital archive of program booklets and list of films from the Zoo Cinema in Antwerp.
025,Cinema Treasures,Cinema Treasures,http://cinematreasures.org/,Single,2000,2021,,Worldwide,Multiple Continents,NA,2021,Partially,Yes,No,Partially,Short Narratives,Yes,Yes,English,No,Yes,Cinema Treasures has united movie theaters and patrons to build the world’s most comprehensive guide to movie theaters
